question,cnt_non_nan,pct_non_nan,cnt_non_standard,pct_non_standard,cnt_nan,pct_nan,cnt_0_NO,pct_0_NO,cnt_1,pct_1,cnt_2_SI,pct_2_SI,cnt_3_AV/A,pct_3_AV/A,cnt_4,pct_4,cnt_5,pct_5,cnt_6,pct_6,cnt_7_NR,pct_7_NR,cnt_8_NA,pct_8_NA,cnt_9_NS,pct_9_NS,cnt_10,pct_10,cnt_11,pct_11,cnt_12,pct_12,cnt_13,pct_13,cnt_14,pct_14,cnt_15,pct_15,cnt_16,pct_16,cnt_17,pct_17,cnt_18,pct_18,cnt_66,pct_66
pga001,1513,97.11168164313221,0,0.0,45,2.8883183568677793,834,53.53016688061617,0,0.0,675,43.32477535301669,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.06418485237483953,3,0.19255455712451863,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pga001a,675,43.32477535301669,0,0.0,883,56.67522464698331,302,19.383825417201543,0,0.0,373,23.940949935815148,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pga001b,675,43.32477535301669,0,0.0,883,56.67522464698331,335,21.501925545571247,0,0.0,340,21.822849807445444,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pga001c,466,29.910141206675224,0,0.0,1092,70.08985879332478,258,16.5596919127086,0,0.0,208,13.350449293966623,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pga001d,451,28.947368421052634,0,0.0,1107,71.05263157894737,178,11.424903722721439,0,0.0,273,17.522464698331195,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pga002,1556,99.87163029525033,0,0.0,2,0.12836970474967907,1282,82.28498074454428,0,0.0,271,17.394094993581515,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.19255455712451863,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pga002a,271,17.394094993581515,0,0.0,1287,82.6059050064185,90,5.7766367137355585,0,0.0,181,11.617458279845955,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pga002b,271,17.394094993581515,0,0.0,1287,82.6059050064185,145,9.306803594351733,0,0.0,126,8.087291399229782,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pga002c,203,13.029525032092426,0,0.0,1355,86.97047496790758,93,5.969191270860077,0,0.0,110,7.060333761232348,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pga002d,191,12.25930680359435,0,0.0,1367,87.74069319640564,90,5.7766367137355585,0,0.0,101,6.482670089858793,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
