question,cnt_non_nan,pct_non_nan,cnt_non_standard,pct_non_standard,cnt_nan,pct_nan,cnt_0_NO,pct_0_NO,cnt_1,pct_1,cnt_2_SI,pct_2_SI,cnt_3_AV/A,pct_3_AV/A,cnt_4,pct_4,cnt_5,pct_5,cnt_6,pct_6,cnt_7_NR,pct_7_NR,cnt_8_NA,pct_8_NA,cnt_9_NS,pct_9_NS,cnt_10,pct_10,cnt_11,pct_11,cnt_12,pct_12,cnt_13,pct_13,cnt_14,pct_14,cnt_15,pct_15,cnt_16,pct_16,cnt_17,pct_17,cnt_18,pct_18,cnt_55,pct_55,cnt_66,pct_66,cnt_88_NA,pct_88_NA,cnt_99_NS,pct_99_NS
psa016,549,35.23748395378691,17,1.0911424903722722,1009,64.7625160462131,450,28.88318356867779,17,1.0911424903722722,82,5.263157894736842,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
psa016a,99,6.354300385109115,17,1.0911424903722722,1459,93.64569961489089,0,0.0,17,1.0911424903722722,62,3.979460847240052,20,1.2836970474967908,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
psa017,549,35.23748395378691,31,1.989730423620026,1009,64.7625160462131,431,27.663671373555843,31,1.989730423620026,87,5.58408215661104,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
psa017a,118,7.573812580231065,22,1.4120667522464698,1440,92.42618741976894,0,0.0,22,1.4120667522464698,66,4.2362002567394095,29,1.8613607188703467,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.06418485237483953,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
psa018,530,34.017971758664956,19,1.2195121951219512,1028,65.98202824133504,357,22.913992297817714,19,1.2195121951219512,153,9.82028241335045,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.06418485237483953,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
psa018a,172,11.0397946084724,93,5.969191270860077,1386,88.96020539152761,0,0.0,93,5.969191270860077,61,3.915275994865212,18,1.1553273427471118,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
psa019,530,34.017971758664956,17,1.0911424903722722,1028,65.98202824133504,444,28.498074454428757,17,1.0911424903722722,66,4.2362002567394095,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.06418485237483953,2,0.12836970474967907,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
psa019a,83,5.327342747111682,7,0.4492939666238768,1475,94.67265725288831,0,0.0,7,0.4492939666238768,55,3.530166880616174,21,1.3478818998716302,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
psa020,549,35.23748395378691,48,3.080872913992298,1009,64.7625160462131,269,17.265725288831835,48,3.080872913992298,231,14.826700898587934,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.06418485237483953,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
psa020a,279,17.907573812580228,99,6.354300385109115,1279,82.09242618741976,0,0.0,99,6.354300385109115,132,8.472400513478819,48,3.080872913992298,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
psa021,549,35.23748395378691,0,0.0,1009,64.7625160462131,513,32.926829268292686,0,0.0,36,2.3106546854942236,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
psa021a,513,32.926829268292686,0,0.0,1045,67.07317073170732,506,32.47753530166881,0,0.0,7,0.4492939666238768,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
psa022,43,2.7599486521181,0,0.0,1515,97.24005134788189,43,2.7599486521181,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
psa022a,36,2.3106546854942236,0,0.0,1522,97.68934531450579,36,2.3106546854942236,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
psa023,549,35.23748395378691,0,0.0,1009,64.7625160462131,407,26.12323491655969,0,0.0,130,8.34403080872914,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12,0.7702182284980745,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
psa023ay,130,8.34403080872914,88,5.648267008985879,1428,91.65596919127086,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28,1.797175866495507,19,1.2195121951219512,20,1.2836970474967908,10,0.6418485237483954,9,0.5776636713735559,9,0.5776636713735559,7,0.4492939666238768,6,0.38510911424903727,3,0.19255455712451863,7,0.4492939666238768,5,0.3209242618741977,1,0.06418485237483953,2,0.12836970474967907,0,0.0,0,0.0,1,0.06418485237483953,0,0.0,3,0.19255455712451863
psa023az,2,0.12836970474967907,1,0.06418485237483953,1556,99.87163029525033,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.06418485237483953,0,0.0,0,0.0,1,0.06418485237483953
