question,cnt_non_nan,pct_non_nan,cnt_non_standard,pct_non_standard,cnt_nan,pct_nan,cnt_0_NO,pct_0_NO,cnt_2_SI,pct_2_SI,cnt_8_NA,pct_8_NA
pma013g,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma013h,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma014,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma014a,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma014b,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma015y,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma015z,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma015a,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma015b,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma015c,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma015dy,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma015dz,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma015e,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma016,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma016a,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma017,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma017a,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma018,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma018a,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma019,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma019a,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma020,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma020a,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma021,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma021a,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
